name,timestamp,value,endpoint,instance,job,namespace,pod,service
process_cpu_seconds_total,1609450468.392,15111.58,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609451068.392,15121.07,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609451668.392,15127.94,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609452268.392,15137.99,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609452868.392,15153.79,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609453468.392,15167.23,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609454068.392,15177.86,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609454668.392,15187.43,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609455268.392,15196.5,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609455868.392,15206.86,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609456468.392,15216.22,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609457068.392,15227.21,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609457668.392,15236.82,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609458268.392,15246.12,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609458868.392,15257.3,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609459468.392,15269.84,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609460068.392,15280.83,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609460668.392,15288.55,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609461268.392,15298.32,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609461868.392,15305.9,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
